ID,Course_Title
5,INS 5302
7,MGT 5315
7,MGT 5308
13,CIP 1002
13,CIP 1001
14,MGT 5306
16,MGT 5308
16,FIN 5313
16,ECO 5305
16,ACC 5302
17,FIN 5305
17,ACC 5302
17,ECO 5305
17,MGT 5305
17,MKT 5305
17,MGT 5308
17,MGT 5306
17,GBU 5307
18,MGT 5306
18,MGT 5315
18,MGT 5308
18,GBU 5399
18,MKT 5305
22,MGT 5305
22,MKT 5316
22,MIS 5301
22,MGT 5306
22,MKT 5305
22,ACC 5302
25,INS 5307
25,INS 5310
25,INS 5322
25,INS 5302
25,CIP 1002
25,CIP 1001
25,SSC 5322
29,CSC 5364
29,CSC 5345
29,CSC 5304
29,CSC 5370
29,CSC 5306
29,CSC 5346
29,CSC 5361
29,CSC 5373
32,ECO 5305
32,MGT 5305
32,ACC 5307
32,FIN 5313
32,MGT 5306
32,MGT 5308
39,CIP 1001
39,CIP 1002
41,MGT 5306
41,MGT 5308
41,MGT 5305
43,ACC 5302
43,FIN 5305
43,MGT 5305
43,GBU 5306
43,MGT 5309
43,ECO 5305
43,MGT 5306
43,GBU 5307
46,CSC 5301
46,CSC 5364
46,CSC 5390
47,COM 2303
47,CIP 1001
47,CIP 1002
50,MIS 5301
50,MGT 5306
50,MKT 5316
50,MGT 5305
50,ACC 5302
50,MKT 5305
50,MKT 5399
52,CIP 1002
52,HUM 3306
52,GBU 5307
53,FIN 5313
53,MGT 5308
53,ECO 5305
53,FIN 5305
53,ACC 5302
53,MGT 5306
54,INS 5399
54,CIP 1001
54,CIP 1002
59,CIP 1002
59,CIP 1001
59,EGR 4300
61,ENGL 1301
61,HIST 1302
62,POLS 2305
62,CHEM 1411
62,MATH 2413
64,MATH 2413
64,PSY 2301
65,HIST 2321
65,SPAN 1411
66,COSC 1436
66,ENGL 1301
67,COMM 1318
67,CHEM 1411
67,MATH 2413
69,ARTS 1316
69,HIST 1302
69,MATH 2413
70,ECON 2301
70,HIST 2321
70,SPAN 1411
70,CSC 3374
70,SPAN 1486
70,CSC 3324
